,name,num,citations,numpapers
377,yasuharu hoshino,2167990452,27,1
378,hiroyuki fujii,2551227746,27,1
379,takumi mitsutani,2800566954,27,1
380,alexander tscharf,2587403515,10,1
381,markus rumpler,1977674323,10,1
382,friedrich fraundorfer,739217077,10,1
383,gerhard mayer,2110823546,10,1
384,horst bischof,2048481453,10,1
385,alice claire gorman,2139493662,48,3
386,urs boniger,1957109557,20,1
387,jens tronicke,1759056120,20,1
388,helen patterson,2634149077,35,1
389,jaroslava panisova,1968541329,10,1
390,marek frastia,1490052762,10,1
391,tina wunderlich,2103595327,10,1
392,roman pasteka,2293484238,10,1
393,david kusnirak,1983672347,10,1
394,lara de giorgi,2553554634,13,1
395,giuseppe scardozzi,2686564327,25,3
396,nicole dore,2143835462,46,4
397,jolanda patruno,2009218270,46,4
398,eric pottier,1930818359,11,1
399,mattia crespi,2293820698,11,1
400,wendy weaver,2177029759,15,1
401,stanley a ahler,2074220008,25,1
402,stephen h savage,2097394260,13,1
403,thomas e levy,2309122928,22,3
404,ian w n jones,2464522004,13,1
405,paolo salonia,1855708696,16,1
406,serena scolastico,1992325099,16,1
407,andrea pozzi,2439253285,16,1
408,andrea marcolongo,1934983169,16,1
409,tommaso leti messina,2002832873,16,1
410,simon crutchley,1664205314,49,2
411,timothy saey,2086375726,30,3
412,birger stichelbaut,2797071750,20,2
413,veerle van eetvelde,1902659110,20,2
414,marc van meirvenne,204222322,33,3
415,lev eppelbaum,1965615194,36,1
416,boris khesin,2149908056,36,1
417,sonya e itkis,1989776452,36,1
418,jeffrey e lucius,2705107727,32,1
419,elena bonali,1731906438,10,1
420,a pesci,2650308125,10,1
421,g casula,2722622979,10,1
422,enzo boschi,2165376601,10,1
423,s suganthi,2663377035,5,1
424,k srinivasan,2550749701,5,1
425,k haubeck,2299315918,6,1
426,torsten prinz,2125257750,6,1
427,tommy ike hailey,2552152799,19,1
428,s malagodi,2070005598,46,1
429,luciana orlando,2172039928,78,3
430,s piro,2720009175,46,1
431,f rosso,2305407655,46,1
432,christopher carey,2560991001,55,2
433,tony brown,2711381588,39,1
434,andy j howard,2247292572,114,4
435,lynden p cooper,2134064181,39,1
436,igor miholjek,2628048938,12,1
437,mattia crespi,2304410050,12,1
438,eric pottier,2495836570,12,1
439,michel dabas,2058258699,65,5
440,gianfranco morelli,1971021672,23,2
441,fabio bruno,2137354898,25,3
442,maurizio muzzupappa,139988561,25,3
443,antonio lagudi,367839808,13,2
444,alessandro gallo,2265260061,20,2
445,francesco spadafora,2036915485,8,1
446,gerardo ritacco,2665367255,13,2
447,a angilica,2640454240,8,1
448,loris barbieri,2132451646,13,2
449,n di lecce,2225064621,8,1
450,giacomo saviozzi,2158499183,8,1
451,cecilia laschi,286952618,8,1
452,r guida,2427543796,8,1
453,g di stefano,2681616185,8,1
454,carl p lipo,2443735199,29,1
455,terry l hunt,2043174931,29,1
456,selma kadioglu,2168137632,4,1
457,john k hillier,2461460373,24,1
458,judith bunbury,1932622197,24,1
459,angus graham,2523822650,24,1
460,peter holt,2647491427,20,1
461,fabrizio terenzio gizzi,2031652222,23,1
462,jonathan l carrivick,192218211,26,1
463,mark w smith,2617356783,26,1
464,duncan j quincey,2026582504,26,1
465,steve carver,2161849260,26,1
466,a lagudi,2808851455,12,1
467,b davidde petriaggi,2682934997,12,1
468,salvatore passaro,1900052055,12,1
469,ole martin bollandsas,2159992795,21,1
470,hans ole orka,307237144,21,1
471,erik naesset,2130404121,21,1
472,terje gobakken,86663967,21,1
473,stefan erasmi,1678881218,17,1
474,ralph rosenbauer,2305808187,17,1
475,ralf buchbach,2631061446,17,1
476,thomas busche,2655685028,17,1
477,susanne muriel rutishauser,2043466164,17,1
478,jeremy green,2143004190,33,1
479,sheila matthews,2115671785,33,1
480,tufan turanli,2607061015,33,1
481,g leblanc,2818287102,20,2
482,margaret kalacska,2089029783,10,1
483,raymond soffer,2309001444,10,1
484,konstantinos g nikolakopoulos,2561999872,11,1
485,konstantina soura,2521299248,11,1
486,ioannis koukouvelas,754045434,11,1
487,nikolaos argyropoulos,2120983740,11,1
