source,target
1545072659,1798489336
1545072659,2033472262
1545072659,2013626527
1545072659,2095112144
1609821603,2313038701
1609821603,2328769150
1990868684,1798489336
1990868684,2043002852
1990868684,1996922388
1990868684,2083197550
1990868684,2030715167
1990868684,2120571145
2281893911,1978602984
2281893911,1834220646
2147809505,2043002852
2147809505,1996922388
2147809505,2086349579
2147809505,2060133927
2147809505,2087375155
2147809505,1989914450
2147809505,1974264916
2147809505,2026890993
2147809505,1565635388
2147809505,33876368
2060133927,1504183433
2060133927,2043002852
2060133927,1989837633
2060133927,2004638404
2060133927,1996922388
2060133927,2086349579
2060133927,2018297962
2060133927,2155545446
2060133927,2059580680
2060133927,2081497821
2060133927,2005426878
2060133927,1974264916
2060133927,2026890993
2060133927,2340115408
2159075000,2047834271
2118955670,1504183433
2118955670,1623899554
2118955670,2018297962
2118955670,735113
2118955670,2071307264
2118955670,2340115408
1997841652,1504183433
1997841652,1989837633
1997841652,2004638404
1997841652,1996922388
1997841652,1971492509
1997841652,2086349579
1997841652,2018297962
1997841652,2086871164
1997841652,2081497821
1997841652,1990453689
1997841652,1513787087
1997841652,1989914450
1997841652,1974264916
1997841652,2026890993
1997841652,2085760485
1997841652,2025377269
2068580990,2129428187
2068580990,735113
2068580990,1965300569
1966654499,2150509498
1966654499,2093468690
1966654499,1999741657
1966654499,1977405945
1966654499,2082358101
1966654499,149740744
1972427274,1623899554
1972427274,1996922388
1972427274,2106652097
2157716938,2164345547
2157716938,1978845392
2157716938,2028089885
2027322285,2083281122
2027322285,2091460873
2027322285,2278448846
2027322285,1798489336
2027322285,1584092637
2027322285,1932582440
2027322285,1545072659
2027322285,2470067090
2090719792,2126100429
2090719792,1919207672
2074665709,1978845392
2074665709,1971492509
2074665709,2082358101
2074665709,1973049152
2074665709,2120199758
1993243599,1966625611
1993243599,2247189989
1983754633,2140558412
1967892600,2083281122
1967892600,2202777762
1967892600,2033472262
1991893215,2043002852
1991893215,1623899554
1991893215,1996922388
1991893215,2086349579
1991893215,2083197550
1991893215,201224041
1991893215,2018297962
1991893215,2081497821
1991893215,1801182092
1991893215,2073691881
1991893215,2053204079
1991893215,2320121120
1991893215,2078123721
1991893215,2183842639
2087375155,2043002852
2087375155,1989837633
2087375155,2004638404
2087375155,1996922388
2087375155,2086349579
2087375155,2083197550
2087375155,2060133927
2087375155,2118955670
2087375155,2068580990
2087375155,2086871164
2087375155,2081497821
2087375155,2021984623
2087375155,1990453689
2087375155,2005426878
2087375155,2071043271
